,Date,Tweet,Tweet_Likes,Sentiment
0,Tue Oct 15 17:33:20 +0000 2024,"Milan Marseille Montpellier

Live Code

▬AEP▬ ← CNU3074",0,Positive
1,Tue Oct 15 17:33:19 +0000 2024,@resul_fcb Messi 🍇d me when I was 14,0,Positive
2,Tue Oct 15 17:33:19 +0000 2024,"@cervovski Sorry, but Vlady was a wimp. Now, given the situation we're in, we need more of him, unless he hasn't become Blairite-social fascist in the meantime. https://t.co/AnvKTtQErV",0,Negative
3,Tue Oct 15 17:33:19 +0000 2024,"@Mariapilar1397 You're going to have him for 7 more years, Maria. You have to work on this in therapy because you're not going to be able to bear it for much longer.",0,Negative
4,Tue Oct 15 17:33:18 +0000 2024,@ActuFoot_ Messi and Neymar were so right,0,Negative
5,Tue Oct 15 17:33:16 +0000 2024,"It's incredible how anti-Messi still exists in this country, they just hide throughout the year because they are cowards.",0,Negative
6,Tue Oct 15 17:33:15 +0000 2024,"@papigoldd @RmaDonyfc @Leo_messii_8 Also scored a bunch of goals and a hattrick vs Barcelona, preformed in big games, but Messi won because he won the World Cup. I wont criticize Messi’s 2022 World Cup campaign, it was good, I’m unbiased in the goat debate, but tbf you got to agree what Benzema did was greater ngl",0,Positive
7,Tue Oct 15 17:33:14 +0000 2024,Lionel Messi excitedly presents his first fragrance https://t.co/7ChkJjvpn9 https://t.co/OchUWFjsGi,0,Positive
8,Tue Oct 15 17:33:14 +0000 2024,"@diegoo2182 @Guillefutbol_ Dude, Argentina and Brazil beat each other after 100 years thanks to Bielsa, what disaster are you talking about?",0,Positive
9,Tue Oct 15 17:33:12 +0000 2024,"@torrethdata2 @Crackbol10 Haaland was more decisive that year than Messi. Yes, they had similar numbers, one playing against Liverpool and the other against Nantes FC",0,Positive
10,Tue Oct 15 17:33:11 +0000 2024,"@termenzo Yes, but it's not fair that he takes photos with that terrible cocksucker from Tapia and mafioso from La Concha de la Lora, and I'm telling you this because I'd give my life for Leo, I love Messi more than my entire family. (Obviously, he has the right to do what he wants, I love you Leo)",0,Negative
11,Tue Oct 15 17:33:10 +0000 2024,"-La Sexta
-Messi's World Cup
-Gavi's return

In that order.",1,Positive
12,Tue Oct 15 17:33:09 +0000 2024,@resul_fcb Goat Messi 🐐,0,Positive
13,Tue Oct 15 17:33:07 +0000 2024,@MiguelFrigenti you are a turncoat😜,0,Positive
14,Tue Oct 15 17:33:05 +0000 2024,"@DiarioOle GARCA SON OF A BITCH, not even Messi is going to save you from the hatred of the fans.",0,Negative
15,Tue Oct 15 17:33:03 +0000 2024,Can you imagine being chosen by lot for military service?,0,Positive
16,Tue Oct 15 17:33:03 +0000 2024,"@nachosaldombide Lies, from 2014 to 2019 they hated Messi, Di Maria and Scaloni.
You're a machine of saying stupid things.",0,Positive
17,Tue Oct 15 17:33:00 +0000 2024,@Alougoat I am going to go to fdp,0,Positive
18,Tue Oct 15 17:32:59 +0000 2024,"Looking back at it, Messi gave us an all timer KO stage. Decisive in every KO game. Best player of all time",0,Positive
19,Tue Oct 15 17:32:58 +0000 2024,"@ElPelucaMilei What a man you are, Mr. President! @JMilei I can't wait to vote for you again!!",0,Positive
